ano,mes,sigla_uf,sigla_uf_nome,imposto_importacao,imposto_exportacao,ipi_fumo,ipi_bebidas,ipi_automoveis,ipi_importacoes,ipi_outros,irpf,irpj_demais_empresas,irrf_rendimentos_trabalho,irrf_rendimentos_capital,irrf_remessas_exterior,irrf_outros_rendimentos,iof,itr,ipmf,cpmf,cofins,cofins_entidades_financeiras,cofins_demais_empresas,pis_pasep,pis_pasep_entidades_financeiras,pis_pasep_demais_empresas,csll,csll_entidades_financeiras,csll_demais_empresas,cide_combustiveis_parcela_nao_dedutivel,cide_combustiveis,cpsss_1,cpsss_2,contribuicao_fundaf,refis,paes,retencoes_fonte,pagamento_unificado,outras_receitas_rfb,demais_receitas,receita_previdenciaria,receita_previdenciaria_propria,receita_previdenciaria_demais,receitas_outros_orgaos
2023,7,AL,Alagoas,32824290.94,1764.04,0.0,742260.56,0.0,11609999.35,7329452.57,36404550.15,85094234.01,43268377.7,4066331.89,1315433.22,3406177.1,1286846.15,338576.1,,,,57397.94,99948764.85,,7759.43,32948008.38,,33522.38,54080323.95,,21124.7,,27979067.47,,,,,,10337738.6,,322763927.6,,,6452904.274
2023,2,AL,Alagoas,25593536.3,1731.23,0.0,430910.4,0.0,10292157.92,5615934.18,7749560.38,44269906.85,41873973.75,3232787.23,1433496.0,2750273.2,1008813.72,414747.3,,,,40852.81,89842240.37,,7368.94,29880549.79,,1160.26,28742403.66,,19716.43,,25954093.79,,,,,,3679276.07,,283865598.6,,,4469231.616
2023,1,AL,Alagoas,26488525.09,1712.31,0.0,924136.09,0.0,11246115.11,9656462.11,12242559.33,101430645.7,50068591.84,4047808.54,1073062.86,3100899.62,1230648.47,383926.76,,,,44457.16,108756715.8,,7856.36,37816079.74,,149685.98,58049597.64,,21832.43,,25635566.23,,,,,,5753269.39,,297556925.6,,,4713126.348
2023,5,AL,Alagoas,37362307.97,1729.26,25.0,658443.33,3262.05,12231366.57,9630113.85,95041851.3,36852855.38,26903433.51,3767339.68,519860.71,3194410.93,942676.73,408355.6,,,,41996.85,92863415.13,,7693.25,31063288.15,,11687.03,26661575.38,,22521.62,,28031542.1,,,,,,9406217.07,,299652117.4,,,5365956.533
2023,6,AL,Alagoas,38045968.87,1755.12,0.0,698847.78,6285.92,13226935.1,10841849.24,40416243.52,32660309.28,44583382.31,4449175.73,2893361.72,3421214.38,1206690.75,372346.22,,,,29512.92,95332411.03,,8138.89,32369691.47,,8246.62,23118577.69,,22709.71,,28054214.58,,,,,,12560.088,,309910.266,,,11843.481
2023,10,AL,Alagoas,45439466.7,1788.29,0.0,923226.35,10548.38,15089208.39,7159319.52,32944498.81,92937662.89,45289145.13,3410826.67,1544098.16,3872496.59,957909.41,1021899.51,,,,31391.53,114674565.1,,5271.43,36013338.68,,36332.45,55701566.66,,22998.7,,26938902.92,,,,,,9246696.82,,327978630.9,,,6843360.034
2023,12,AL,Alagoas,42787782.53,1805.92,0.0,725447.38,11841.89,17207717.58,10664585.39,31534789.06,35493087.57,61698687.61,2749812.56,884837.77,3281693.03,1192602.68,625876.83,,,,32499.24,120539607.5,,5308.44,38092409.2,,6410.51,25362667.32,,24632.91,,31894232.12,,,,,,8880650.48,,475241152.0,,,4471031.392
2023,1,AM,Amazonas,92203022.82,-0.03,0.0,2153461.0,0.0,11520305.87,18752008.16,14167868.87,329444519.1,161462129.8,6941964.8,26861515.1,17654038.63,3606331.28,134763.58,,,,286885.97,437589458.6,,46610.25,129346149.8,,5154756.63,265317840.4,,0.0,,26769560.63,,,,,,24669626.74,,506722184.3,,,10527831.87
2023,8,AM,Amazonas,69090381.08,-0.21,0.0,4736.42,22659.9,10279525.46,3648147.1,35671228.13,205537867.4,100936355.8,6486977.38,41918983.44,9229643.39,2991162.43,233129.12,,,,279552.12,413729298.3,,45427.22,113539739.3,,232432.6,168458615.2,,12226640.8,,29287124.66,,,,,,23924891.28,,487190529.2,,,4775836.502
2023,5,AM,Amazonas,74759748.73,-0.08,0.0,1630068.11,34618.51,9332370.38,4506422.01,69703836.98,203875880.2,89683599.66,3240052.4,55032887.42,8271034.3,875195.92,155424.02,,,,271130.57,412491127.0,,39167.6,116483847.7,,250264.23,164725401.7,,0.0,,29421778.17,,,,,,11283251.17,,501570593.5,,,12055492.59
